id,name,nameArabic,requiredCredits,degreeLevel,degreeLevelArabic,description,descriptionArabic,studyPlan,offeredByFaculty
M001,Bachelor in Information Technology and Computing - ITC,بكالوريوس في تكنولوجيا المعلومات والحوسبة - ITC,131,Undergraduate,المرحلة الجامعية,"The Bachelor in Information Technology and Computing equips students with the knowledge and skills necessary to excel in the rapidly evolving field of IT. This program covers core subjects such as programming, databases, networking, and cybersecurity, preparing graduates for careers in software development, system administration, and IT consulting. With a strong focus on both theoretical and practical learning, this major provides a comprehensive understanding of technology's role in business and society.","تزود درجة البكالوريوس في تكنولوجيا المعلومات والحوسبة الطلاب بالمعرفة والمهارات اللازمة للتفوق في مجال تكنولوجيا المعلومات سريع التطور. يغطي هذا البرنامج المواد الأساسية مثل البرمجة وقواعد البيانات والشبكات والأمن السيبراني، مما يعد الخريجين لمهن في تطوير البرمجيات وإدارة النظام والاستشارات في مجال تكنولوجيا المعلومات. مع التركيز القوي على التعلم النظري والعملي، يوفر هذا التخصص فهمًا شاملاً لدور التكنولوجيا في الأعمال والمجتمع.",https://www.aou.edu.om/faculties/Documents/Bachelor%20Information%20Technology%20and%20Computing%202024%20-%20%20Study%20Plan.pdf,F001
M002,Bachelor in Networking and Security,بكالوريوس في الشبكات والأمن,131,Undergraduate,المرحلة الجامعية,"The Bachelor in Networking and Security program focuses on the design, implementation, and management of secure networks. Students gain expertise in network architecture, cybersecurity, ethical hacking, and information assurance. This major prepares graduates for roles in network administration, security analysis, and IT infrastructure management, ensuring they can protect organizational data and systems from potential threats.","يركز برنامج البكالوريوس في الشبكات والأمن على تصميم وتنفيذ وإدارة الشبكات الآمنة. يكتسب الطلاب الخبرة في هندسة الشبكات والأمن السيبراني والاختراق الأخلاقي وضمان المعلومات. يعمل هذا التخصص على إعداد الخريجين لأدوار في إدارة الشبكات وتحليل الأمان وإدارة البنية التحتية لتكنولوجيا المعلومات، مما يضمن قدرتهم على حماية البيانات والأنظمة التنظيمية من التهديدات المحتملة.",https://www.aou.edu.om/faculties/Documents/Bachelor%20in%20Networking%20and%20Security%202024%20Study%20Plan.pdf,F001
M003,Bachelor in Computer Science,بكالوريوس علوم الحاسب الآلي,131,Undergraduate,المرحلة الجامعية,"The Bachelor in Computer Science provides a solid foundation in software development, algorithms, and computational theory. Students learn to solve complex problems using various programming languages and methodologies. This major prepares graduates for careers in software engineering, data analysis, and research, equipping them with the skills needed to innovate in the tech industry.","توفر درجة البكالوريوس في علوم الكمبيوتر أساسًا قويًا في تطوير البرمجيات والخوارزميات ونظرية الحوسبة. يتعلم الطلاب كيفية حل المشكلات المعقدة باستخدام لغات ومنهجيات برمجة مختلفة. يعمل هذا التخصص على إعداد الخريجين لمهن في هندسة البرمجيات وتحليل البيانات والبحث، وتزويدهم بالمهارات اللازمة للابتكار في صناعة التكنولوجيا.",https://www.aou.edu.om/faculties/Documents/Bachelor%20in%20Computer%20Science%202024%20-%20%20Study%20Plan.pdf,F001
M004,Bachelor in Computing with Business Studies,بكالوريوس في علوم الحاسب الآلي مع دراسات الأعمال,131,Undergraduate,المرحلة الجامعية,"The Bachelor in Computing with Business Studies integrates IT knowledge with business acumen. Students study subjects like software development, database management, and business management principles. This major prepares graduates to bridge the gap between technology and business, making them ideal candidates for roles in IT management, business analysis, and consulting.","يجمع برنامج البكالوريوس في علوم الكمبيوتر مع دراسات الأعمال بين المعرفة بتكنولوجيا المعلومات ومهارات الأعمال. يدرس الطلاب مواد مثل تطوير البرمجيات وإدارة قواعد البيانات ومبادئ إدارة الأعمال. يعمل هذا التخصص على إعداد الخريجين لسد الفجوة بين التكنولوجيا والأعمال، مما يجعلهم مرشحين مثاليين لأدوار في إدارة تكنولوجيا المعلومات وتحليل الأعمال والاستشارات.",https://www.aou.edu.om/faculties/Documents/Bachelor%20in%20Computing%20with%20Business%20Studies%202024%20-%20Study%20Plan.pdf,F001
M005,Bachelor in Artificial Intelligence,بكالوريوس في الذكاء الاصطناعي,131,Undergraduate,المرحلة الجامعية,"The Bachelor in Artificial Intelligence program focuses on machine learning, data analysis, and AI algorithms. Students learn to develop intelligent systems that can analyze data, make decisions, and solve problems autonomously. This major prepares graduates for careers in AI development, data science, and innovation, driving the future of technology. (New Major)","يركز برنامج البكالوريوس في الذكاء الاصطناعي على التعلم الآلي وتحليل البيانات وخوارزميات الذكاء الاصطناعي. يتعلم الطلاب كيفية تطوير أنظمة ذكية يمكنها تحليل البيانات واتخاذ القرارات وحل المشكلات بشكل مستقل. يعد هذا التخصص الخريجين لمهن في تطوير الذكاء الاصطناعي وعلوم البيانات والابتكار، مما يقود مستقبل التكنولوجيا. (تخصص جديد)",https://www.aou.edu.om/faculties/Documents/Bachelor%20AI%202024%20-%20Study%20Plan.pdf,F001
M006,Bachelor in Cyber Security,بكالوريوس في الأمن السيبراني,131,Undergraduate,المرحلة الجامعية,"The Bachelor in Cyber Security program is dedicated to protecting digital systems from threats and vulnerabilities. Students learn about cryptography, network security, ethical hacking, and risk management. This major prepares graduates to safeguard organizations' data and systems, making them vital players in the field of information security. (New Major)","برنامج البكالوريوس في الأمن السيبراني مخصص لحماية الأنظمة الرقمية من التهديدات والثغرات الأمنية. يتعلم الطلاب عن التشفير وأمن الشبكات والاختراق الأخلاقي وإدارة المخاطر. هذا التخصص يؤهل الخريجين لحماية بيانات وأنظمة المؤسسات، مما يجعلهم لاعبين حيويين في مجال أمن المعلومات. (تخصص جديد)",https://www.aou.edu.om/faculties/Documents/Bachelor%20in%20Cyber%20Security%202024%20-%20Study%20Plan.pdf,F001
M007,Diploma in Cyber Security,دبلوم في الأمن السيبراني,64,Undergraduate,المرحلة الجامعية,"The Diploma in Cyber Security program equips students with fundamental knowledge of securing digital environments. Students learn about cyber threats, ethical hacking, and basic network security. This program prepares them for entry-level roles in cybersecurity, focusing on protecting data and systems from unauthorized access. (New Major)
","يزود برنامج دبلوم الأمن السيبراني الطلاب بالمعرفة الأساسية لتأمين البيئات الرقمية. ويتعلم الطلاب عن التهديدات السيبرانية والاختراق الأخلاقي وأمن الشبكات الأساسي. ويجهزهم هذا البرنامج لأدوار المستوى الأول في مجال الأمن السيبراني، مع التركيز على حماية البيانات والأنظمة من الوصول غير المصرح به. (تخصص جديد)
",https://www.aou.edu.om/faculties/Documents/Diploma%20in%20Cyber%20Security%202024%20Study%20Plan.pdf,F001
M008,Diploma Information Technology and Computing,دبلوم تكنولوجيا المعلومات والحوسبة,61,Undergraduate,المرحلة الجامعية,"The Diploma in Information Technology and Computing covers essential IT skills, including software development, hardware management, and network basics. This program provides a strong foundation for students aiming to pursue advanced studies or start a career in the IT industry.","تغطي دبلومة تكنولوجيا المعلومات والحوسبة المهارات الأساسية في تكنولوجيا المعلومات، بما في ذلك تطوير البرمجيات وإدارة الأجهزة وأساسيات الشبكات. يوفر هذا البرنامج أساسًا قويًا للطلاب الذين يهدفون إلى متابعة دراسات متقدمة أو بدء مهنة في صناعة تكنولوجيا المعلومات.",https://www.aou.edu.om/faculties/Documents/Diploma%20Information%20Technology%20and%20Computing%202024%20-%20Study%20Plan.pdf,F001
M009,Diploma in Artificial Intelligence,دبلومة في الذكاء الاصطناعي,64,Undergraduate,المرحلة الجامعية,"The Diploma in Artificial Intelligence introduces students to basic AI concepts, including machine learning, data analysis, and AI applications. This program is designed to provide a solid grounding for further study or entry-level positions in AI-related fields. (New Major)
","يقدم دبلوم الذكاء الاصطناعي للطلاب مفاهيم الذكاء الاصطناعي الأساسية، بما في ذلك التعلم الآلي، وتحليل البيانات، وتطبيقات الذكاء الاصطناعي. تم تصميم هذا البرنامج لتوفير أساس متين لمزيد من الدراسة أو المناصب على مستوى المبتدئين في المجالات المتعلقة بالذكاء الاصطناعي. (تخصص جديد)
",https://www.aou.edu.om/faculties/Documents/Diploma%20in%20Artificial%20Intelligence%202024%20-%20Study%20Plan.pdf,F001
M010,Master in Cyber Security and Forensics,ماجستير في الأمن السيبراني والطب الشرعي,48,Postgraduate,دراسات عليا,"The Master in Cyber Security and Forensics program offers advanced training in protecting and investigating digital systems. Students delve into cybersecurity strategies, forensic analysis, and legal aspects of digital crime. This program prepares graduates for specialized roles in cybersecurity and digital forensics, safeguarding organizations against cyber threats. (New Major)
","يقدم برنامج الماجستير في الأمن السيبراني والطب الشرعي تدريبًا متقدمًا في حماية الأنظمة الرقمية والتحقيق فيها. يتعمق الطلاب في استراتيجيات الأمن السيبراني والتحليل الجنائي والجوانب القانونية للجرائم الرقمية. يعد هذا البرنامج الخريجين لأدوار متخصصة في الأمن السيبراني والطب الشرعي الرقمي، وحماية المؤسسات من التهديدات السيبرانية. (تخصص جديد)
",https://www.aou.edu.om/faculties/Documents/Master%20in%20Cybersecurity%20Semester%20Plan.pdf,F001
M011,Business Studies - Accounting Track,دراسات الأعمال - مسار المحاسبة,135,Undergraduate,المرحلة الجامعية,"This program focuses on developing strong accounting skills, covering financial accounting, management accounting, taxation, auditing, and financial reporting. Graduates will be equipped to manage and interpret financial data, ensuring the financial health of organizations.","يركز هذا البرنامج على تطوير مهارات المحاسبة القوية، والتي تغطي المحاسبة المالية، والمحاسبة الإدارية، والضرائب، والتدقيق، والتقارير المالية. سيكون الخريجون مجهزين لإدارة وتفسير البيانات المالية، وضمان الصحة المالية للمؤسسات.",https://www.aou.edu.om/faculties/Documents/Business%20Studies%20-%20Accounting%20Track.pdf,F002
M012,Business Studies - Economics Track,دراسات الأعمال - مسار الاقتصاد,135,Undergraduate,المرحلة الجامعية,"The Economics track offers a deep understanding of economic principles, including microeconomics, macroeconomics, and econometrics. Students learn to analyze market behavior, economic policies, and global economic trends, preparing them for roles in policy analysis, consulting, and economic research.","يقدم مسار الاقتصاد فهمًا عميقًا للمبادئ الاقتصادية، بما في ذلك الاقتصاد الجزئي والاقتصاد الكلي والاقتصاد القياسي. يتعلم الطلاب كيفية تحليل سلوك السوق والسياسات الاقتصادية والاتجاهات الاقتصادية العالمية، مما يعدهم لأدوار في تحليل السياسات والاستشارات والبحوث الاقتصادية.",https://www.aou.edu.om/faculties/Documents/Business%20Studies%20-%20Economics%20Track.pdf,F002
M013,Business Studies - Management Track,دراسات الأعمال - مسار الإدارة,135,Undergraduate,المرحلة الجامعية,"This program is designed to develop leadership and management skills. Students learn about organizational behavior, strategic management, human resource management, and operations management, preparing them for managerial roles in various industries.","تم تصميم هذا البرنامج لتنمية مهارات القيادة والإدارة. يتعلم الطلاب عن السلوك التنظيمي والإدارة الاستراتيجية وإدارة الموارد البشرية وإدارة العمليات، مما يؤهلهم لأدوار إدارية في مختلف الصناعات.",https://www.aou.edu.om/faculties/Documents/Business%20Studies%20-%20Management%20Track.pdf,F002
M014,Business Studies - Systems Track,دراسات الأعمال - مسار النظم,135,Undergraduate,المرحلة الجامعية,"The Systems Track emphasizes the integration of business processes and information systems. Students learn about information management, systems analysis, and design, and how to implement technology solutions to optimize business operations.",يركز مسار النظم على تكامل العمليات التجارية وأنظمة المعلومات. يتعلم الطلاب عن إدارة المعلومات وتحليل النظم وتصميمها وكيفية تنفيذ الحلول التكنولوجية لتحسين العمليات التجارية.,https://www.aou.edu.om/faculties/Documents/Business%20Studies%20-%20Systems%20Track.pdf,F002
M015,Business Studies -Marketing Track,دراسات الأعمال - مسار التسويق,135,Undergraduate,المرحلة الجامعية,"This program focuses on developing marketing expertise, including market research, consumer behavior, branding, and digital marketing strategies. Graduates will be prepared to create and execute marketing campaigns that effectively reach target audiences.","يركز هذا البرنامج على تطوير الخبرة التسويقية، بما في ذلك أبحاث السوق وسلوك المستهلك وبناء العلامات التجارية واستراتيجيات التسويق الرقمي. سيكون الخريجون مستعدين لإنشاء وتنفيذ حملات تسويقية تصل بفعالية إلى الجماهير المستهدفة.",https://www.aou.edu.om/faculties/Documents/Business%20Studies%20-Marketing%20Track.pdf,F002
M016,Diploma in Business Studies Study,دراسة دبلومة في دراسات الأعمال,64,Undergraduate,المرحلة الجامعية,"The diploma program provides foundational knowledge in business principles, including accounting, management, marketing, and economics. It is ideal for students seeking a solid introduction to business studies before pursuing further education or entry-level positions.","يوفر برنامج الدبلومة المعرفة الأساسية في مبادئ الأعمال، بما في ذلك المحاسبة والإدارة والتسويق والاقتصاد. وهو مثالي للطلاب الذين يسعون إلى الحصول على مقدمة قوية لدراسات الأعمال قبل متابعة التعليم العالي أو المناصب الأولية.",https://www.aou.edu.om/faculties/Documents/Diploma%20in%20Business%20Studies%20Study.pdf,F002
M017,Master of Business Administration (MBA),ماجستير إدارة الأعمال (MBA),48,Postgraduate,دراسات عليا,"The MBA program is designed for professionals seeking advanced leadership roles. It covers strategic management, finance, marketing, and operations, with an emphasis on global business practices. Students develop critical thinking and decision-making skills, preparing them to lead organizations in a dynamic business environment.","تم تصميم برنامج ماجستير إدارة الأعمال للمحترفين الذين يسعون إلى أدوار قيادية متقدمة. وهو يغطي الإدارة الاستراتيجية والتمويل والتسويق والعمليات، مع التركيز على ممارسات الأعمال العالمية. يطور الطلاب مهارات التفكير النقدي واتخاذ القرار، مما يؤهلهم لقيادة المنظمات في بيئة عمل ديناميكية.",https://www.aou.edu.om/faculties/Documents/Study%20Plan-%20MBA%20General(2021).pdf,F002
