id,MajorID, Major,MajorArabic,Amount (R.O)
ftl01,M008,Diploma Information Technology & Computing,دبلوم تكنولوجيا المعلومات والحوسبة,4177.0
ftl02,M016,Diploma in Business Study,دبلوم في دراسة الأعمال,4380.0
ftl03,M011,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,9450.0
ftl03,M012,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,9450.0
ftl03,M013,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,9450.0
ftl03,M014,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,9450.0
ftl03,M015,BA Hons in Business Studies,بكالوريوس مع مرتبة الشرف في دراسات الأعمال,9450.0
ftl04,M001,BSc Hons in Information Technology and Computing,بكالوريوس مع مرتبة الشرف في تكنولوجيا المعلومات والحوسبة,9610.0
ftl05,M020,Bachelor in Law,بكالوريوس في القانون,9400.0
